nohup: ignoring input
==> device:  cuda
==> Vocab_size: 2366
Epoch: 000 | Loss: 4.020 | Training time: 1m29s
Epoch: 000 | Loss: 3.419 | Validation time: 12s711ms
Epoch: 000 | Loss: 3.391 | Testing time: 12s691ms
Epoch: 001 | Loss: 3.188 | Training time: 1m32s
Epoch: 001 | Loss: 3.071 | Validation time: 12s761ms
Epoch: 001 | Loss: 3.038 | Testing time: 12s653ms
Epoch: 002 | Loss: 2.914 | Training time: 1m32s
Epoch: 002 | Loss: 2.911 | Validation time: 12s825ms
Epoch: 002 | Loss: 2.872 | Testing time: 12s719ms
Epoch: 003 | Loss: 2.753 | Training time: 1m32s
Epoch: 003 | Loss: 2.811 | Validation time: 12s833ms
Epoch: 003 | Loss: 2.769 | Testing time: 12s671ms
Epoch: 004 | Loss: 2.635 | Training time: 1m32s
Epoch: 004 | Loss: 2.744 | Validation time: 12s716ms
Epoch: 004 | Loss: 2.704 | Testing time: 12s856ms
Epoch: 005 | Loss: 2.545 | Training time: 1m32s
Epoch: 005 | Loss: 2.696 | Validation time: 12s689ms
Epoch: 005 | Loss: 2.652 | Testing time: 12s686ms
Epoch: 006 | Loss: 2.469 | Training time: 1m32s
Epoch: 006 | Loss: 2.657 | Validation time: 12s885ms
Epoch: 006 | Loss: 2.613 | Testing time: 12s761ms
Epoch: 007 | Loss: 2.406 | Training time: 1m32s
Epoch: 007 | Loss: 2.630 | Validation time: 12s708ms
Epoch: 007 | Loss: 2.585 | Testing time: 12s613ms
Epoch: 008 | Loss: 2.348 | Training time: 1m32s
Epoch: 008 | Loss: 2.615 | Validation time: 12s830ms
Epoch: 008 | Loss: 2.567 | Testing time: 12s718ms
Epoch: 009 | Loss: 2.295 | Training time: 1m32s
Epoch: 009 | Loss: 2.591 | Validation time: 12s771ms
Epoch: 009 | Loss: 2.545 | Testing time: 12s548ms
Epoch: 010 | Loss: 2.249 | Training time: 1m32s
Epoch: 010 | Loss: 2.574 | Validation time: 12s943ms
Epoch: 010 | Loss: 2.531 | Testing time: 12s749ms
Epoch: 011 | Loss: 2.205 | Training time: 1m31s
Epoch: 011 | Loss: 2.570 | Validation time: 13s19ms
Epoch: 011 | Loss: 2.521 | Testing time: 12s711ms
Epoch: 012 | Loss: 2.165 | Training time: 1m32s
Epoch: 012 | Loss: 2.562 | Validation time: 12s773ms
Epoch: 012 | Loss: 2.516 | Testing time: 12s864ms
Epoch: 013 | Loss: 2.125 | Training time: 1m32s
Epoch: 013 | Loss: 2.550 | Validation time: 12s835ms
Epoch: 013 | Loss: 2.503 | Testing time: 12s696ms
Epoch: 014 | Loss: 2.091 | Training time: 1m31s
Epoch: 014 | Loss: 2.550 | Validation time: 12s932ms
Epoch: 014 | Loss: 2.504 | Testing time: 12s691ms
Epoch: 015 | Loss: 2.058 | Training time: 1m32s
Epoch: 015 | Loss: 2.548 | Validation time: 12s897ms
Epoch: 015 | Loss: 2.500 | Testing time: 12s714ms
Epoch: 016 | Loss: 2.025 | Training time: 1m31s
Epoch: 016 | Loss: 2.544 | Validation time: 12s823ms
